Date,Forecasted_Demand,PRODUCT_CARD_ID,PRODUCT_NAME,FREQUENCY
16-05-2018,79.58971411,M001,Bus Model B45,Daily
17-05-2018,79.75011505,M001,Bus Model B45,Daily
18-05-2018,79.88105809,M001,Bus Model B45,Daily
19-05-2018,78.29881497,M001,Bus Model B45,Daily
20-05-2018,78.95946444,M001,Bus Model B45,Daily
21-05-2018,80.8364066,M001,Bus Model B45,Daily
22-05-2018,75.73964861,M001,Bus Model B45,Daily
23-05-2018,78.32772489,M001,Bus Model B45,Daily
24-05-2018,78.1567922,M001,Bus Model B45,Daily
25-05-2018,77.97814088,M001,Bus Model B45,Daily
26-05-2018,76.11551378,M001,Bus Model B45,Daily
27-05-2018,76.53181596,M001,Bus Model B45,Daily
28-05-2018,78.2064733,M001,Bus Model B45,Daily
29-05-2018,72.95458255,M001,Bus Model B45,Daily
30-05-2018,75.43871911,M001,Bus Model B45,Daily
31-05-2018,75.21794494,M001,Bus Model B45,Daily
01-06-2018,75.04525936,M001,Bus Model B45,Daily
02-06-2018,73.2448855,M001,Bus Model B45,Daily
03-06-2018,73.77897545,M001,Bus Model B45,Daily
04-06-2018,75.62499194,M001,Bus Model B45,Daily
05-06-2018,70.59490822,M001,Bus Model B45,Daily
06-06-2018,73.34709061,M001,Bus Model B45,Daily
07-06-2018,73.43540416,M001,Bus Model B45,Daily
08-06-2018,73.60678163,M001,Bus Model B45,Daily
09-06-2018,72.17864535,M001,Bus Model B45,Daily
10-06-2018,73.10576213,M001,Bus Model B45,Daily
11-06-2018,75.35778516,M001,Bus Model B45,Daily
12-06-2018,70.73862113,M001,Bus Model B45,Daily
13-06-2018,73.89848337,M001,Bus Model B45,Daily
14-06-2018,74.38316754,M001,Bus Model B45,Daily
15-06-2018,74.93178684,M001,Bus Model B45,Daily
16-06-2018,73.85435263,M001,Bus Model B45,Daily
17-06-2018,75.09877763,M001,Bus Model B45,Daily
18-06-2018,77.62855269,M001,Bus Model B45,Daily
19-06-2018,73.24223306,M001,Bus Model B45,Daily
20-06-2018,76.58559256,M001,Bus Model B45,Daily
21-06-2018,77.20098084,M001,Bus Model B45,Daily
22-06-2018,77.82511918,M001,Bus Model B45,Daily
23-06-2018,76.76672012,M001,Bus Model B45,Daily
24-06-2018,77.97350763,M001,Bus Model B45,Daily
25-06-2018,80.409889,M001,Bus Model B45,Daily
26-06-2018,75.87641482,M001,Bus Model B45,Daily
27-06-2018,79.02188638,M001,Bus Model B45,Daily
28-06-2018,79.39264707,M001,Bus Model B45,Daily
29-06-2018,79.73029458,M001,Bus Model B45,Daily
30-06-2018,78.34920132,M001,Bus Model B45,Daily
01-07-2018,79.20342174,M001,Bus Model B45,Daily
02-07-2018,81.26424004,M001,Bus Model B45,Daily
03-07-2018,76.33949724,M001,Bus Model B45,Daily
04-07-2018,79.08555927,M001,Bus Model B45,Daily
05-07-2018,79.05646542,M001,Bus Model B45,Daily
06-07-2018,79.00149645,M001,Bus Model B45,Daily
07-07-2018,77.24255249,M001,Bus Model B45,Daily
08-07-2018,77.74092169,M001,Bus Model B45,Daily
09-07-2018,79.47469575,M001,Bus Model B45,Daily
10-07-2018,74.25797318,M001,Bus Model B45,Daily
11-07-2018,76.75271442,M001,Bus Model B45,Daily
12-07-2018,76.51778959,M001,Bus Model B45,Daily
13-07-2018,76.30646024,M001,Bus Model B45,Daily
14-07-2018,74.44368609,M001,Bus Model B45,Daily
15-07-2018,74.89283938,M001,Bus Model B45,Daily
16-07-2018,76.63308336,M001,Bus Model B45,Daily
17-07-2018,71.47855671,M001,Bus Model B45,Daily
18-07-2018,74.09022797,M001,Bus Model B45,Daily
19-07-2018,74.02496104,M001,Bus Model B45,Daily
20-07-2018,74.03303259,M001,Bus Model B45,Daily
21-07-2018,72.43549203,M001,Bus Model B45,Daily
22-07-2018,73.19094551,M001,Bus Model B45,Daily
23-07-2018,75.27301969,M001,Bus Model B45,Daily
24-07-2018,70.4896454,M001,Bus Model B45,Daily
25-07-2018,73.49502383,M001,Bus Model B45,Daily
26-07-2018,73.8388144,M001,Bus Model B45,Daily
27-07-2018,74.26378312,M001,Bus Model B45,Daily
28-07-2018,73.08329985,M001,Bus Model B45,Daily
29-07-2018,74.24826363,M001,Bus Model B45,Daily
30-07-2018,76.72470936,M001,Bus Model B45,Daily
31-07-2018,72.31323328,M001,Bus Model B45,Daily
01-08-2018,75.66109754,M001,Bus Model B45,Daily
02-08-2018,76.31155021,M001,Bus Model B45,Daily
03-08-2018,77.00159726,M001,Bus Model B45,Daily
04-08-2018,76.03961227,M001,Bus Model B45,Daily
05-08-2018,77.37236107,M001,Bus Model B45,Daily
06-08-2018,79.96269211,M001,Bus Model B45,Daily
07-08-2018,75.60902857,M001,Bus Model B45,Daily
08-08-2018,78.95752072,M001,Bus Model B45,Daily
09-08-2018,79.55139365,M001,Bus Model B45,Daily
10-08-2018,80.12872602,M001,Bus Model B45,Daily
11-08-2018,79.00004518,M001,Bus Model B45,Daily
12-08-2018,80.11531561,M001,Bus Model B45,Daily
13-08-2018,82.44157192,M001,Bus Model B45,Daily
14-08-2018,77.78233322,M001,Bus Model B45,Daily
15-08-2018,80.78965841,M001,Bus Model B45,Daily
16-08-2018,81.01337938,M001,Bus Model B45,Daily
17-08-2018,81.19874955,M001,Bus Model B45,Daily
18-08-2018,79.66389581,M001,Bus Model B45,Daily
19-08-2018,80.36665327,M001,Bus Model B45,Daily
20-08-2018,82.28203736,M001,Bus Model B45,Daily
21-08-2018,77.2214932,M001,Bus Model B45,Daily
22-08-2018,79.84478538,M001,Bus Model B45,Daily
23-08-2018,79.70906854,M001,Bus Model B45,Daily
